"COUNTRY","Country","SEX","Sex","AGE","Age","SERIES","Series","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2002","2002",8.09503155053901,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2003","2003",8.03862757973166,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2004","2004",8.06936276251485,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2005","2005",7.93723719527299,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2006","2006",7.79749308070062,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2007","2007",7.70957901987341,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2008","2008",7.62714799088132,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2009","2009",7.248766771943,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2010","2010",7.02203691878986,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2011","2011",6.8062852375373,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2012","2012",6.66888776494249,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2013","2013",6.48742705961161,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2014","2014",6.41902338494298,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2015","2015",6.30247728257827,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2016","2016",6.18241134729435,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2017","2017",6.0758375103946,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2018","2018",6.18836078024425,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2019","2019",6.044020859399,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2020","2020",5.73861836400005,,
"AUS","Australia","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2021","2021",5.94052926972447,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2000","2000",4.80049662181044,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2001","2001",4.71238258451489,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2002","2002",4.54210658799494,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2003","2003",4.38672173925192,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2004","2004",4.32905121413399,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2005","2005",4.4655184371775,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2006","2006",4.57142790029412,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2007","2007",4.77860773669756,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2008","2008",4.79791537030926,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2009","2009",4.65854715815873,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2010","2010",4.52966625151394,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2011","2011",4.44305326546826,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2012","2012",4.3667943924205,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2013","2013",4.03375738658592,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2014","2014",3.8578976979805,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2015","2015",3.60651015379418,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2016","2016",3.43717204264541,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2017","2017",3.21714182415334,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2018","2018",3.21894270093969,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2019","2019",3.03045084748942,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2020","2020",3.1152546716895,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2021","2021",3.01970480240465,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2000","2000",4.93831200878238,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2001","2001",4.85405558792239,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2002","2002",4.69868713003593,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2003","2003",4.53986321365895,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2004","2004",4.77467686115135,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2005","2005",4.91216068379633,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2006","2006",4.96259859107733,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2007","2007",5.16733719215123,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2008","2008",5.19648699529627,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2009","2009",5.04778704601858,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2010","2010",4.85214189611668,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2011","2011",4.75062659932775,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2012","2012",4.64423449566408,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2013","2013",4.33545279269021,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2014","2014",4.10786027732712,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2015","2015",3.84089978963296,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2016","2016",3.75958437887565,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2017","2017",3.47485820769137,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2018","2018",3.4576805051844,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2019","2019",3.24995017909849,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2020","2020",3.29618536507337,,
"AUT","Austria","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2021","2021",3.31675279589938,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2000","2000",1.21890092412821,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2001","2001",1.34860407707785,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2002","2002",1.20771876685451,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2003","2003",1.06749633533095,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2004","2004",1.00834568139734,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2005","2005",1.00900153851116,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2006","2006",1.01059924232472,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2007","2007",0.983621389435126,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2008","2008",1.05217392320281,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2009","2009",1.00276804190342,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2010","2010",0.846426715040247,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2011","2011",0.967902645718433,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2012","2012",0.841585366033988,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2013","2013",0.675218333796416,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2014","2014",0.682516394052007,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2015","2015",0.680988661125108,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2016","2016",0.720010424235752,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2017","2017",0.808143326727712,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2018","2018",1.13285100124603,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2019","2019",1.28989477549018,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2020","2020",1.12507131940109,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2021","2021",1.22888130479845,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2000","2000",1.53879124940104,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2001","2001",1.62891903312888,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2002","2002",1.4820217628274,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2003","2003",1.39615023771652,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2004","2004",1.31181533816959,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2005","2005",1.33139990794257,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2006","2006",1.30232092713485,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2007","2007",1.29514542248642,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2008","2008",1.31388798564025,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2009","2009",1.28180451702433,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2010","2010",1.19584555174231,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2011","2011",1.25812039749968,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2012","2012",1.09572437914036,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2013","2013",0.936980128360899,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2014","2014",0.940822382275698,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2015","2015",0.89444727156825,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2016","2016",0.91750409679507,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2017","2017",0.976996040077111,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2018","2018",1.31927426957952,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2019","2019",1.46753441797889,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2020","2020",1.32598385870401,,
"BEL","Belgium","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2021","2021",1.53737112049508,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2000","2000",6.00135516087093,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2001","2001",6.00975080875906,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2002","2002",6.093007001655,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2003","2003",5.98106125990478,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2004","2004",5.85611055380817,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2005","2005",5.86290721768272,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2006","2006",6.01095565501478,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2007","2007",6.20420705996186,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2008","2008",6.1930986553322,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2009","2009",5.68164794679005,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2010","2010",5.42428420904401,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2011","2011",5.31514070372537,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2012","2012",4.98770352077086,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2013","2013",4.8649140453899,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2014","2014",4.81920222354871,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2015","2015",4.76455422191881,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2016","2016",4.64064573438841,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2017","2017",4.7343978378899,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2018","2018",4.77277857314919,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2019","2019",4.69624030862983,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2020","2020",4.17187521449472,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2021","2021",4.55275499206549,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2000","2000",6.69355716396976,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2001","2001",6.70179294843438,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2002","2002",6.8584885265355,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2003","2003",6.74744191422793,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2004","2004",6.63844023140201,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2005","2005",6.54565027264875,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2006","2006",6.67646713228655,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2007","2007",6.81898644369926,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2008","2008",6.85615017559225,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2009","2009",6.4786954824456,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2010","2010",6.21032586021211,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2011","2011",6.0770178743789,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2012","2012",5.75900847813044,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2013","2013",5.58824456601622,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2014","2014",5.47709411964293,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2015","2015",5.39206194886822,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2016","2016",5.22410140084424,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2017","2017",5.25035709326573,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2018","2018",5.28174907518907,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2019","2019",5.19022030516943,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2020","2020",4.93747736038434,,
"CAN","Canada","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2021","2021",5.01290148286323,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2000","2000",1.44970564374577,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2001","2001",1.0326692679266,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2002","2002",0.887270650217728,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2003","2003",0.815515930026197,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2004","2004",0.707502071515074,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2005","2005",0.686383577170924,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2006","2006",0.697997141732772,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2007","2007",0.685434004247467,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2008","2008",0.713628912965257,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2009","2009",0.655112236483256,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2010","2010",0.512173773493139,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2011","2011",0.445837494027869,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2012","2012",0.381222550166593,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2013","2013",0.338681562118849,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2014","2014",0.433829014167341,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2015","2015",0.41284014327677,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2016","2016",0.406922545054933,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2017","2017",0.439136574626945,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2018","2018",0.425442032306277,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2019","2019",0.470856658426338,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2020","2020",0.390070583803434,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2021","2021",0.382861757300857,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2000","2000",1.99107435605587,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2001","2001",1.5128084855351,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2002","2002",1.28162015972195,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2003","2003",1.22172210206348,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2004","2004",1.1163932509839,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2005","2005",1.11901356731475,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2006","2006",1.05595199169087,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2007","2007",0.887651140001608,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2008","2008",0.902037228146619,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2009","2009",0.933233909447085,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2010","2010",0.781366987975451,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2011","2011",0.713535103777846,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2012","2012",0.663445660210894,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2013","2013",0.55371046701274,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2014","2014",0.644971327332313,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2015","2015",0.574694691488614,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2016","2016",0.518128908445156,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2017","2017",0.547686900011063,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2018","2018",0.507348373374728,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2019","2019",0.547654650694709,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2020","2020",0.484554918823762,,
"CZE","Czech Republic","MW","All persons","1519","15 to 19","PER_L","Share of labour force","A","Annual","2021","2021",0.501133518094296,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2000","2000",5.98901668045364,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2001","2001",5.18445327396099,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2002","2002",5.99168408752868,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2003","2003",5.39885070485918,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2004","2004",6.1298939573258,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2005","2005",6.16590286634241,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2006","2006",6.61415613520621,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2007","2007",6.47503269538501,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2008","2008",6.2882714066622,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2009","2009",6.0178473745102,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2010","2010",5.60768345518291,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2011","2011",5.46425490372768,,
"DNK","Denmark","MW","All persons","1519","15 to 19","PER_E","Share of employment","A","Annual","2012","2012",5.36227507468649,,
