"COUNTRY","Country","EMPSTAT","Employment status","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1502,,
"AUT","Austria","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1508.64347667649,,
"AUT","Austria","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1400.69358244345,,
"AUT","Austria","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1442.45375748537,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1432,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1443,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1440,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1436,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1434,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1431,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1435,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1441,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1445,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1443,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1353,,
"BEL","Belgium","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1400,,
"BEL","Belgium","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1574,,
"BEL","Belgium","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1590,,
"BEL","Belgium","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1587,,
"BEL","Belgium","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1586,,
"BEL","Belgium","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1582,,
"BEL","Belgium","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1575,,
"BEL","Belgium","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1574,,
"BEL","Belgium","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1578,,
"BEL","Belgium","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1580,,
"BEL","Belgium","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1577,,
"BEL","Belgium","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1443,,
"BEL","Belgium","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1493.12638580931,,
"CAN","Canada","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1720.14447933294,,
"CAN","Canada","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1720.05940859447,,
"CAN","Canada","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1728.80843081826,,
"CAN","Canada","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1722.36873050738,,
"CAN","Canada","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1719.76778008075,,
"CAN","Canada","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1720.11239137934,,
"CAN","Canada","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1716.96150093521,,
"CAN","Canada","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1706.9646258607,,
"CAN","Canada","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1722.78280565142,,
"CAN","Canada","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1704.61550865485,,
"CAN","Canada","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1672.92677294819,,
"CAN","Canada","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1705.58886129682,,
"CAN","Canada","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1715,,
"CAN","Canada","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1713,,
"CAN","Canada","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1722,,
"CAN","Canada","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1716,,
"CAN","Canada","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1710,,
"CAN","Canada","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1712,,
"CAN","Canada","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1706,,
"CAN","Canada","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1695,,
"CAN","Canada","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1708,,
"CAN","Canada","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1690,,
"CAN","Canada","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1644,,
"CAN","Canada","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1684.99840044174,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1731.39213840517,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1740.03901512805,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1728.54097273498,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1725.44064538446,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1733.03710861788,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1709.20963649054,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1733.59678576477,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1730.9899384819,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1738.43331326127,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1747.26491290474,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1675.60620549772,,
"CZE","Czech Republic","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1722.00367164962,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1799.09974628458,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1805.47336955466,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1776.44831609381,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1764.30200770331,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1773.81180970635,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1751.47421425254,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1774.04635487219,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1776.44770281944,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1784.66636269155,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1786.03344465839,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1703.59653546415,,
"CZE","Czech Republic","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1752.82063270898,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1398.97933553883,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1412.80068596507,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1400.97237774206,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1402.70600024123,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1391.12569915217,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1379.93548011519,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1389.80435733225,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1383.85454646369,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1362.70325429809,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1359.80330331394,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1327.69437014534,,
"DNK","Denmark","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1348.32888351744,,
"DNK","Denmark","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1422.30839756429,,
"DNK","Denmark","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1436.98118299249,,
"DNK","Denmark","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1423.3462832508,,
"DNK","Denmark","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1425.63357544074,,
"DNK","Denmark","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1413.80721530672,,
"DNK","Denmark","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1407.14910367558,,
"DNK","Denmark","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1412.04476904186,,
"DNK","Denmark","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1404.20432783947,,
"DNK","Denmark","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1381.28888987796,,
"DNK","Denmark","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1371.49881061049,,
"DNK","Denmark","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1342.32701888433,,
"DNK","Denmark","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1363.43075437447,,
"FIN","Finland","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1521,,
"FIN","Finland","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1521,,
"FIN","Finland","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1513,,
"FIN","Finland","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1509,,
"FIN","Finland","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1506,,
"FIN","Finland","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1505,,
"FIN","Finland","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1505.15608599404,,
"FIN","Finland","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1502.22127202304,,
"FIN","Finland","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1499.39759706372,,
"FIN","Finland","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1494.28717968551,,
"FIN","Finland","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1487.43527321507,,
"FIN","Finland","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1471.57138916043,,
"FIN","Finland","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1585,,
"FIN","Finland","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1578,,
"FIN","Finland","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1568,,
"FIN","Finland","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1560,,
"FIN","Finland","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1558,,
"FIN","Finland","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1555,,
"FIN","Finland","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1555,,
"FIN","Finland","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1548.87961089044,,
"FIN","Finland","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1546.37323846403,,
"FIN","Finland","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1538.37118618515,,
"FIN","Finland","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1528.78994195106,,
"FIN","Finland","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1518.26736906017,,
"FRA","France","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1438.6353066842,,
"FRA","France","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1445.2938842299,,
"FRA","France","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1439.77200589005,,
"FRA","France","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1427.37394940757,,
"FRA","France","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1421.86100559572,,
"FRA","France","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1422.21671624761,,
"FRA","France","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1427.59900469332,,
"FRA","France","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1416.45472724364,,
"FRA","France","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1424.02123613312,,
"FRA","France","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1428.33308480163,,
"FRA","France","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1325.96863351574,,
"FRA","France","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1405.17997977755,,
"FRA","France","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1540,,
"FRA","France","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1546,,
"FRA","France","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1541,,
"FRA","France","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1526,,
"FRA","France","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1518,,
"FRA","France","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1519.48435617539,,
"FRA","France","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1522.06935829071,,
"FRA","France","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1507.60482048707,,
"FRA","France","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1514.41032743803,,
"FRA","France","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1518.15725565889,,
"FRA","France","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1407.25763480479,,
"FRA","France","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1490.33174431957,,
"DEU","Germany","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1349.85300960775,,
"DEU","Germany","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1353.49315179512,,
"DEU","Germany","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1336.10488839107,,
"DEU","Germany","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1326.65222559768,,
"DEU","Germany","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1333.75848099943,,
"DEU","Germany","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1336.7,,
"DEU","Germany","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1333.9,,
"DEU","Germany","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1331.2,,
"DEU","Germany","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1329.7,,
"DEU","Germany","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1328.5,,
"DEU","Germany","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1284.4,,
"DEU","Germany","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1305.6,,
"DEU","Germany","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1425.7,,
"DEU","Germany","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1426.9,,
"DEU","Germany","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1408,,
"DEU","Germany","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1396.5,,
"DEU","Germany","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1400.4,,
"DEU","Germany","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1401,,
"DEU","Germany","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1395.6,,
"DEU","Germany","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1389.1,,
"DEU","Germany","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1384.7,,
"DEU","Germany","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1381.5,,
"DEU","Germany","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1324.2,,
"DEU","Germany","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1349.3,,
"GRC","Greece","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1711.86163174536,,
"GRC","Greece","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1726.19239762868,,
"GRC","Greece","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1737.00433448151,,
"GRC","Greece","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1735.88807014703,,
"GRC","Greece","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1707.26885576668,,
"GRC","Greece","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1706.06073998713,,
"GRC","Greece","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1726.70086592117,,
"GRC","Greece","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1714.91964545261,,
"GRC","Greece","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1734.15069827828,,
"GRC","Greece","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1707.39782053852,,
"GRC","Greece","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1540.29065063591,,
"GRC","Greece","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1667.93557685619,,
"GRC","Greece","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1931.07982475913,,
"GRC","Greece","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1950.22069420752,,
"GRC","Greece","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1989.93137331474,,
"GRC","Greece","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1996.60648416968,,
"GRC","Greece","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1949.33400057264,,
"GRC","Greece","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1934.9868080525,,
"GRC","Greece","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1942.72654348523,,
"GRC","Greece","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1946.94095359204,,
"GRC","Greece","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1961.08118109017,,
"GRC","Greece","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1916.66005063335,,
"GRC","Greece","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1730.73763920219,,
"GRC","Greece","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1872.23705073194,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1684.0472792307,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1674.93567459841,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1665.52326458591,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1662.07953762209,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1679.92496379564,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1683.08111201584,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1701.57517718733,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1693.0980612176,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1681.89780710856,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1681.23282449943,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1624.88966025623,,
"HUN","Hungary","DE","Dependent employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1654.3781318383,,
"HUN","Hungary","TE","Total employment","A","Annual","2010","2010","HOUR","Hours","0","Units",,,1766.4,,
"HUN","Hungary","TE","Total employment","A","Annual","2011","2011","HOUR","Hours","0","Units",,,1753.7,,
"HUN","Hungary","TE","Total employment","A","Annual","2012","2012","HOUR","Hours","0","Units",,,1738.3,,
"HUN","Hungary","TE","Total employment","A","Annual","2013","2013","HOUR","Hours","0","Units",,,1733.6,,
"HUN","Hungary","TE","Total employment","A","Annual","2014","2014","HOUR","Hours","0","Units",,,1748.6,,
"HUN","Hungary","TE","Total employment","A","Annual","2015","2015","HOUR","Hours","0","Units",,,1745.9,,
"HUN","Hungary","TE","Total employment","A","Annual","2016","2016","HOUR","Hours","0","Units",,,1760.2,,
"HUN","Hungary","TE","Total employment","A","Annual","2017","2017","HOUR","Hours","0","Units",,,1747.4,,
"HUN","Hungary","TE","Total employment","A","Annual","2018","2018","HOUR","Hours","0","Units",,,1729.9,,
"HUN","Hungary","TE","Total employment","A","Annual","2019","2019","HOUR","Hours","0","Units",,,1722.2,,
"HUN","Hungary","TE","Total employment","A","Annual","2020","2020","HOUR","Hours","0","Units",,,1657.1,,
"HUN","Hungary","TE","Total employment","A","Annual","2021","2021","HOUR","Hours","0","Units",,,1697.1,,
